diseases,molecules,sources
"[""cancer""]","[""terpenoids"", ""flavonoids"", ""saponins"", ""alkaloids"", ""coumarins"", ""quinones""]","[""plant"", ""microbe"", ""marine""]"
"[""cancer"", ""infectious diseases""]",[],"[""plant"", ""marine""]"
[],[],[]
[],[],"[""bacteria"", ""plant"", ""animal"", ""alga""]"
[],[],[]
[],[],[]
[],[],[]
[],[],[]
"[""infectious diseases"", ""antibiotic resistance""]",[],"[""soil"", ""marine environments""]"
[],[],"[""proteins"", ""polysaccharides"", ""nucleic acids"", ""plant""]"
"[""infectives"", ""virulence""]",[],"[""plant""]"
"[""cancer""]",[],[]
[],[],"[""microorganisms"", ""plants""]"
[],"[""polyketide""]","[""micro-organisms"", ""macro-organisms""]"
[],[],[]
[],[],[]
[],[],[]
"[""diabetes"", ""dyslipidemia"", ""cirrhosis"", ""fibrosis""]",[],[]
"[""anticancer"", ""antimicrobial""]",[],"[""plant""]"
[],[],[]
"[""malaria""]",[],[]
[],[],"[""plant""]"
[],[],"[""bacteria"", ""soil""]"
"[""tuberculosis""]","[""fused-nitrogen-containing heterocycles""]","[""bacteria"", ""mammal""]"
"[""cancer""]",[],"[""animal""]"
[],"[""polyketide"", ""non-ribosomal peptide""]","[""bacteria""]"
[],[],[]
"[""tuberculosis""]","[""polyketide""]","[""bacteria""]"
[],"[""terpenoids"", ""amino acids"", ""peptides"", ""polyketides""]","[""plant"", ""fungus"", ""bacteria""]"
[],[],[]
[],[],[]
"[""Alzheimer's disease""]","[""indole alkaloids""]","[""marine tunicate"", ""bacteria""]"
"[""osteoporosis"", ""cancer""]",[],[]
"[""antibiotic-resistant infections"", ""antifungal infections"", ""antitumor""]","[""macrolactins""]",[]
"[""anticancer""]","[""polysaccharide""]","[""bacteria"", ""plant"", ""marine""]"
[],[],"[""natural products"", ""academic institutions"", ""universities"", ""research institutes""]"
"[""disease""]",[],"[""plant""]"
"[""neurodegeneration"", ""cancer""]",[],[]
"[""cancer"", ""anticancer""]","[""alkaloids"", ""taxanes""]","[""plants"", ""micro-organisms"", ""marine organisms""]"
[],[],"[""plant"", ""natural products""]"
"[""asthma""]",[],"[""plant""]"
"[""cancer"", ""melanoma""]","[""polyketide""]","[""bacteria"", ""sponge""]"
[],"[""xanthones""]",[]
"[""anticancer""]",[],"[""bacteria"", ""fungi"", ""cyanobacteria"", ""cone snails"", ""halophytes""]"
"[""cancer""]",[],"[""fungus""]"
"[""hypertrophic scarring""]","[""inflammation"", ""myofibroblast activation"", ""angiogenesis"", ""collagen accumulation""] 

Note: These are not standard chemical classes, but rather biological processes. If you'd like, I can help you identify the specific natural product classes mentioned in the text.","[""plant"", ""animal""]"
[],[],"[""plant""]"
[],[],"[""marine organisms"", ""plant""]"
"[""inflammatory-related diseases"", ""IRDs""]",[],"[""plant""]"
"[""malaria""]","[""polyketide""]","[""bacteria""]"
[],[],"[""natural products"", ""plant"", ""animal""]"
[],[],"[""bacteria""]"
"[""cancer""]","[""flavonoid""]","[""plant""]"
"[""MRSA"", ""VRE"", ""PRSP""]","[""lipopeptides"", ""thiopeptides"", ""oxazolidinones"", ""mutilins""]","[""bacteria""]"
[],[],"[""plant"", ""marine invertebrates""]"
"[""cancer"", ""ischemia/reperfusion"", ""neurodegenerative diseases"", ""acute kidney injury"", ""liver injury"", ""cardiomyopathy""]",[],[]
"[""cancer"", ""HIV""]",[],"[""plant""]"
[],[],"[""plant"", ""bacteria""]"
"[""cutaneous leishmaniasis""]",[],[]
[],[],[]
[],[],"[""plant"", ""animal"", ""fungus"", ""bacteria""]"
"[""Polycystic Ovary Syndrome (PCOS)"", ""type 2 diabetes"", ""myocardial infarction"", ""stroke""]",[],"[""plant""]"
[],[],"[""plant""]"
"[""malaria""]",[],"[""plant""]"
[],[],[]
"[""certain diseases""]",[],[]
"[""cancer""]",[],"[""fungus""]"
"[""cancer"", ""HIV/AIDS"", ""malaria"", ""Alzheimer's disease"", ""pain""]",[],"[""plant""]"
"[""infections"", ""cancers""]",[],[]
"[""tuberculosis""]",[],"[""bacteria""]"
[],[],[]
[],[],[]
"[""animal diseases"", ""plant diseases"", ""microbial diseases""]",[],"[""animal"", ""plants"", ""microorganisms""]"
"[""cancer""]",[],"[""plant"", ""fungus""]"
"[""diabetes""]","[""polyketide""]",[]
[],[],"[""microbes"", ""actinomycetes""]"
[],[],[]
[],"[""flavonoids""]",[]
"[""inflammatory diseases""]","[""terpenoids""]","[""plant""]"
"[""cancer""]","[""polyketide""]","[""plant""]"
"[""COVID-19"", ""neurological complications""]","[""nonribosomal peptides""]","[""bacteria"", ""plant""]"
[],"[""xanthones""]",[]
"[""chronic pain"", ""pain""]","[""alkaloid""]","[""marine-derived"", ""plant""]"
"[""oncology"", ""cancer""]",[],"[""bacteria"", ""fungus""]"
[],"[""alkaloids"", ""flavonoids""]",[]
"[""cancer"", ""tumorigenesis""]","[""berberine"", ""telomestatin"", ""quindoline"", ""sanguinarine"", ""isaindigotone""]","[""macrophage"", ""plant""]"
"[""cancer"", ""MYC"", ""BCL2"", ""KRAS"", ""EGFR""]",[],"[""plant""]"
"[""multiple myeloma""]",[],[]
"[""major depressive disorder""]","[""phytochemicals""]",[]
"[""cancer""]","[""polyketide""]","[""plant""]"
"[""multi-antibiotic-resistant pathogens"", ""antibiotic resistance""]",[],"[""bacteria"", ""fungus""]"
"[""cancer""]","[""alkaloids"", ""polyketides""]",[]
"[""AIDS"", ""HIV""]","[""polyketide"", ""meroterpenoid""]","[""plant""]"
[],"[""phytoconstituents""]","[""actinomycetes"", ""plant"", ""bacteria""]"
"[""prostate cancer"", ""acute myeloid leukemia""]",[],"[""plant""]"
"[""type 2 diabetes mellitus""]",[],"[""plant"", ""mushroom""]"
"[""coronary artery disease""]",[],"[""marine"", ""plant""]"
"[""cancer"", ""metabolic disorders"", ""infections""]","[""marine natural products""]","[""plant"", ""fungi"", ""microorganisms""]"
"[""leishmaniasis""]",[],"[""protozoans"", ""marine""]"
[],[],"[""natural sources""]"
"[""neurological disorders"", ""oxytosis/ferroptosis""]",[],"[""plant"", ""animal"", ""microbe""]"
"[""complex and multifactorial diseases""]",[],"[""plant""]"
"[""infectious diseases""]","[""anthraquinone""]","[""microbes"", ""marine microbes""]"
"[""cancer""]",[],[]
"[""parasitic infections""]",[],[]
[],[],"[""marine organisms""]"
"[""analgesic"", ""anti-infective"", ""anticancer"", ""cancer""]",[],"[""marine organisms"", ""bacteria""]"
[],[],[]
"[""primary biliary cirrhosis""]",[],[]
"[""malaria""]",[],"[""plant"", ""protozoan parasite""]"
"[""diseases"", ""cancer"", ""antibiotics""]",[],"[""microorganisms"", ""microbes"", ""bacteria"", ""parasites"", ""macroorganisms""]"
[],"[""peptide natural products"", ""RiPPs""]",[]
[],[],"[""bacteria""]"
"[""urease inhibitors"", ""a-glucosidase inhibitors""]",[],"[""plant""]"
"[""cancer""]",[],"[""marine natural products"", ""plant""]"
[],[],"[""bacteria""]"
[],[],"[""natural products""]"
"[""drug-resistant bacteria""]",[],[]
"[""infectious diseases"", ""non-communicable diseases"", ""bacterial diseases"", ""viral diseases"", ""chronic inflammation"", ""superbugs""]","[""alkaloid""]","[""bacteria"", ""plant""]"
"[""Alzheimer's disease""]",[],"[""bacteria"", ""plant""]"
[],[],[]
"[""cancer"", ""inflammatory conditions""]",[],[]
[],"[""alkaloids"", ""resin glycosides""]",[]
"[""cancer"", ""COVID-19"", ""neuroprotective effects""]","[""alkaloid""]","[""plant"", ""aquatic plant""]"
"[""schizophrenia"", ""Alzheimer's Disease"", ""pain""]","[""polyketide"", ""peptide""]","[""bacteria"", ""plant""]"
"[""cancer""]","[""polyketide""]","[""fungi"", ""yeast"", ""plant""]"
"[""cancer""]",[],"[""bacteria"", ""fungus"", ""animal""]"
[],[],[]
"[""PTP1B"", ""type 2 diabetes""]","[""terpenoids"", ""flavonoids""]",[]
"[""cancer""]","[""peptide"", ""amino acid""]",[]
"[""antibacterial infections"", ""resistant pathogens""]",[],"[""bacteria""]"
[],[],[]
[],[],[]
"[""alpha-Glucosidase deficiency"", ""diabetes""]",[],"[""plant""]"
"[""cancer""]",[],"[""ascidians"", ""invertebrates""]"
[],"[""natural products""]",[]
"[""Acanthamoeba infections""]",[],[]
"[""cancer""]",[],"[""plant""]"
[],"[""phenylpropanoids""]",[]
"[""schistosomiasis""]","[""polyketide"", ""non-ribosomal peptide synthetase""]","[""plant"", ""animal""]"
"[""melanoma""]",[],"[""fungus"", ""bacteria""]"
"[""COVID-19""]",[],"[""plant""]"
"[""diabetes mellitus""]","[""natural products""]","[""plant""]"
"[""cancer""]",[],"[""natural products"", ""food chemicals"", ""approved drugs"", ""semisynthetic compounds""]"
[],[],"[""plant"", ""bacteria""]"
"[""cancer""]","[""flavonoids"", ""isoflavones"", ""chalcones""]",[]
"[""dyslipidemia"", ""cancer"", ""Alzheimer's disease""]",[],"[""plant""]"
[],"[""natural products""] 

Note: I excluded this answer because ""natural products"" is a general term, not a specific class of molecules.",[]
"[""acute myeloid leukemia (AML)""]","[""alkaloids"", ""flavonoids"", ""polyketides""]","[""cyanobacteria"", ""microorganisms"", ""cancer cells""]"
"[""pancreatic cancer""]",[],"[""bacteria"", ""plant""]"
"[""racemate""]",[],"[""plant""]"
[],[],[]
"[""alpha(1A)-adrenergic receptor antagonist""]",[],[]
[],"[""polyketide""]","[""marine algae"", ""marine endophytic microorganisms""]"
[],[],"[""microbes"", ""plant"", ""animal""]"
[],[],[]
[],"[""polyketide"", ""inhibitors of glucan synthesis"", ""inhibitors of sphingolipid synthesis"", ""inhibitors of protein synthesis""]",[]
"[""bacterial infections"", ""fungal infections""]",[],"[""fungus"", ""bacteria""]"
[],"[""polyketide""]","[""plant""]"
"[""acute kidney injury"", ""chronic kidney disease""]","[""polyketide""]",[]
"[""cancer"", ""antimicrobial"", ""inflammatory"", ""analgesic"", ""antioxidant"", ""antimalarial"", ""antiviral""]",[],"[""bacteria""]"
[],[],[]
"[""breast cancer"", ""cancer""]","[""polyketide"", ""macrolide""]",[]
"[""cancer"", ""immunosuppressant"", ""cholesterol-lowering disease""]","[""polyketide""]","[""bacteria""]"
"[""SARS-CoV-2""]","[""Flavonoids"", ""Saponins"", ""Alkaloids"", ""Terpenes"", ""Triterpenes""]","[""bacteria""]"
"[""age-related diseases"", ""autophagy""]",[],"[""plant""]"
"[""methicillin-resistant Staphylococcus aureus""]","[""polyketide""]","[""plant"", ""animal""]"
[],[],"[""fungi"", ""animals"", ""plants""]"
[],[],[]
"[""bacterial infections""]",[],[]
[],[],"[""bacteria""]"
[],[],[]
"[""cancer""]",[],"[""natural products""]"
"[""cancer"", ""AIDS""]",[],"[""plant"", ""bacteria""]"
[],[],"[""plant"", ""fungi"", ""cyanbacteria"", ""bacteria"", ""protists""]"
[],[],[]
"[""Alzheimer's disease""]",[],[]
"[""breast cancer""]",[],"[""plant"", ""bacteria""]"
"[""cancer""]",[],"[""plant"", ""microbial"", ""marine""]"
"[""breast cancer"", ""malignant lymphoma"", ""Hodgkin's disease""]",[],"[""bacteria"", ""plant"", ""animal""]"
